Date,Type,Actual,Lasso + Linear_Prediction,All Linear Models_Prediction,Linear + Random Forest_Prediction,All Tree Models_Prediction,All Models_Prediction
2004-07-01,Train,4.42586833764092,4.422005629716258,4.42379751387788,4.425112080732671,4.424105611998966,4.423951562938423
2004-08-01,Train,4.39360323917467,4.389753234506761,4.3947683511645845,4.394632477224995,4.394554807557078,4.3946615793608315
2004-09-01,Train,4.36003579997325,4.359295147304543,4.361522398286286,4.368305092430834,4.364398358091199,4.362960378188742
2004-10-01,Train,4.33001252596023,4.330848784649111,4.33161886886497,4.334202790649701,4.333173693952112,4.332396281408541
2004-11-01,Train,4.30033824076459,4.304126811864714,4.304389484890511,4.305946976923558,4.30577830402287,4.305083894456691
2004-12-01,Train,4.26953867642261,4.2766285100968515,4.271295361955491,4.270492698427134,4.269109503911473,4.270202432933481
2005-01-01,Train,4.24370197939283,4.250999419387513,4.246308447504432,4.245303256329075,4.243799970648166,4.2450542090763
2005-02-01,Train,4.217211452922,4.226794325506012,4.22480069680596,4.221009825575306,4.218999894354291,4.221900295580125
2005-03-01,Train,4.19699794411227,4.206330950725471,4.20063971666695,4.201455257336843,4.20013363838072,4.200386677523835
2005-04-01,Train,4.17860105360625,4.189013698322417,4.183396282774011,4.187659065598118,4.185797855318972,4.184597069046492
2005-05-01,Train,4.16054369157522,4.172661881233733,4.166729623450818,4.163671473772748,4.161954313284498,4.1643419683676575
2005-06-01,Train,4.14323304801591,4.156963360554788,4.150870620243666,4.146332804281681,4.145618775689436,4.14824469796655
2005-07-01,Train,4.12085340991373,4.138295484666684,4.131694162556202,4.129828983248704,4.126533856755656,4.129114009655929
2005-08-01,Train,4.09788014068187,4.11766094168598,4.1140285789509825,4.107227120700001,4.10397298754244,4.109000783246711
2005-09-01,Train,4.0709320607648,4.094946653132867,4.085706320863031,4.0826988940411315,4.080761536454561,4.083233928658796
2005-10-01,Train,4.04507155829878,4.070460155462359,4.062276561607401,4.047264073785334,4.045930420904291,4.054103491255845
